,distance,k,db,ch,slt,time
96,hellinger,10,2.4002526221903486,974.1866204232879,0.27158356681258833,6.027921399999997
97,hellinger,10,2.383030173014372,1003.3827818223009,0.2747340497420068,6.027921399999997
98,hellinger,15,2.366741948631142,819.1939552743827,0.30392133293677825,6.436780900000002
99,hellinger,15,2.330413832930796,855.6301167742469,0.3177395676162338,6.436780900000002
100,hellinger,15,2.368407170635405,812.1052892648213,0.29905114377618763,6.436780900000002
101,hellinger,15,2.320422075905167,830.7399891725863,0.30787667939159935,6.436780900000002
102,hellinger,15,2.3336534794467263,828.6528282796467,0.3037709018290717,6.436780900000002
103,hellinger,15,2.3366834267465815,831.5310982774365,0.30687755119261656,6.436780900000002
104,hellinger,15,2.350836967269171,821.788754914907,0.3056092576464238,6.436780900000002
105,hellinger,20,2.0655383113312116,722.7466695483993,0.27072030597245605,6.734099799999996
106,hellinger,20,2.09591174340765,735.2352811351645,0.26966564406956883,6.734099799999996
107,hellinger,20,2.0882701822305756,711.7460815267165,0.2682963452924824,6.734099799999996
108,hellinger,20,2.068968808499934,725.9811176771606,0.2717812844034655,6.734099799999996
109,hellinger,20,2.106138660459763,733.436595059072,0.27164780579080755,6.734099799999996
110,hellinger,20,2.0712677242399655,719.23090788149,0.2734371894506721,6.734099799999996
111,hellinger,20,2.1082615187184777,718.4694680375626,0.2715907742519833,6.734099799999996
112,hellinger,25,2.0287680661900667,650.2243633245907,0.27896039895223823,6.084797199999997
113,hellinger,25,2.019463812024037,660.9789676055325,0.28633465504905486,6.084797199999997
114,hellinger,25,2.0525899242078354,653.4250863891955,0.2846258334653539,6.084797199999997
115,hellinger,25,2.0453411392648877,646.2455660694235,0.27940687090705457,6.084797199999997
116,hellinger,25,2.052252662599099,646.9228017535165,0.2771214452918869,6.084797199999997
117,hellinger,25,2.0533759843509487,648.85758418619,0.28056242913943585,6.084797199999997
118,hellinger,25,2.0421422089742993,635.8417901700811,0.27607450288927604,6.084797199999997
119,hellinger,30,1.9785020529788582,631.4061062624689,0.2965636478997131,7.871888899999988
120,hellinger,30,2.0316965250594103,617.6983580262829,0.29563694424436093,7.871888899999988
121,hellinger,30,2.0013614892106486,619.4762036376753,0.292769848832336,7.871888899999988
122,hellinger,30,2.0046067250430184,615.9317590845103,0.2918797736119425,7.871888899999988
123,hellinger,30,2.0108604365359586,629.8734876895757,0.29969385744436616,7.871888899999988
124,hellinger,30,2.015194137767092,615.9648110965672,0.2931014333298953,7.871888899999988
125,hellinger,30,2.005430349601378,617.3616750535656,0.29379573776157275,7.871888899999988
126,hellinger,35,2.0264198352989573,559.8870692484727,0.2940466434232633,7.284571700000015
127,hellinger,35,1.9700548725559353,575.7359660482315,0.2940157771788797,7.284571700000015
